,chemical_formula,melt_temp_in_kelvin,volume_in_ang3_per_atom,bulk_modulus_in_GPa
0,Th_1.0O_2.0,3458.136962890625,14.944934844970703,170.47894287109375
1,SiO2,1941.3162841796875,16.6186580657959,30.490015029907227
2,HfC,3891.7763671875,12.944324493408203,205.03009033203125
3,HfN,3500.489013671875,12.275422096252441,222.28955078125
4,O2,148.13650512695312,16.095165252685547,9.438634872436523
5,Al,991.1882934570312,17.27913475036621,85.36693572998047
6,Si,1701.1676025390625,18.797840118408203,134.52496337890625
7,O2,148.13650512695312,16.095165252685547,9.438634872436523
8,Al,991.1882934570312,17.27913475036621,85.36693572998047
9,Si,1701.1676025390625,18.797840118408203,134.52496337890625
